time,equity
1749128400000,5275.62222541
1749132000000,5275.87727062
1749135600000,5275.65647177
1749139200000,5272.76873813
1749142800000,5272.75116435
1749146400000,5272.18542360
1749150000000,5269.75888921
1749153600000,5266.50526033
1749157200000,5268.89214104
1749160800000,5268.80246967
1749164400000,5268.82545078
1749168000000,5269.68926998
1749171600000,5269.58743214
1749175200000,5270.37892845
1749178800000,5271.04763357
1749182400000,5271.68186702
1749186000000,5272.07119399
1749189600000,5272.56055635
1749193200000,5272.51639658
1749196800000,5273.30248558
1749200400000,5273.63593691
1749204000000,5273.71051285
1749207600000,5274.24944231
1749211200000,5273.88061810
1749214800000,5274.62592689
1749218400000,5276.16971646
1749222000000,5276.88415848
1749225600000,5276.16273200
1749229200000,5276.52254402
1749232800000,5275.57806564
1749236400000,5274.94991542
1749240000000,5275.51926105
1749243600000,5275.30702378
1749247200000,5275.51047415
1749250800000,5275.09208285
1749254400000,5275.61141078
1749258000000,5275.42215461
1749261600000,5275.62200011
1749265200000,5276.40425892
1749268800000,5276.27493387
1749272400000,5276.40673727
1749276000000,5277.41768062
1749279600000,5276.38443208
1749283200000,5276.11113717
1749286800000,5276.32720462
1749290400000,5277.00920273
1749294000000,5277.01731371
1749297600000,5277.71215419
1749301200000,5278.04470431
1749304800000,5277.63825417
1749308400000,5277.94872440
1749312000000,5277.48482149
1749315600000,5277.58936299
1749319200000,5278.09945341
1749322800000,5278.36846753
1749326400000,5278.60684018
1749330000000,5278.41217670
1749333600000,5278.52775814
1749337200000,5277.94782318
1749340800000,5277.76780452
1749344400000,5278.25649097
1749348000000,5277.70494444
1749351600000,5277.78763135
1749355200000,5278.07917597
1749358800000,5277.67497888
1749362400000,5277.69525632
1749366000000,5277.66146058
1749369600000,5277.54137304
1749373200000,5277.01506066
1749376800000,5277.47671051
1749380400000,5278.19948882
1749384000000,5278.28623122
1749387600000,5278.06340462
1749391200000,5278.53203893
1749394800000,5278.87157350
1749398400000,5279.35800690
1749402000000,5279.12526688
1749405600000,5279.61958596
1749409200000,5279.60403992
1749412800000,5279.28027669
1749416400000,5279.66802653
1749420000000,5278.40474163
1749423600000,5278.32858856
1749427200000,5278.27203701
1749430800000,5277.87775334
1749434400000,5277.95976434
1749438000000,5278.19453211
1749441600000,5277.69525632
1749445200000,5277.54520322
1749448800000,5278.26122237
1749452400000,5277.96855123
1749456000000,5278.80916403
1749459600000,5280.32366395
1749463200000,5281.61759032
1749466800000,5282.90543345
1749470400000,5282.87772094
1749474000000,5281.24516122
1749477600000,5282.57491108
1749481200000,5282.58189553
1749484800000,5282.76957456
1749488400000,5284.20048634
1749492000000,5284.43367697
1749495600000,5277.38883139
1749499200000,5277.38883139
1749502800000,5277.38883139
1749506400000,5277.38883139
1749510000000,5277.38883139
1749513600000,5277.38883139
1749517200000,5277.38883139
1749520800000,5277.38883139
1749524400000,5277.38883139
1749528000000,5277.38883139
1749531600000,5277.38883139
1749535200000,5277.38883139
1749538800000,5277.38883139
1749542400000,5277.38883139
1749546000000,6859.18098143
1749549600000,6856.09492262
1749553200000,6859.50765557
1749556800000,6861.62525564
1749560400000,6856.16575020
1749564000000,6846.22387083
1749567600000,6851.95078651
1749571200000,6847.68812262
1749574800000,6847.50888548
1749578400000,6855.63237517
1749582000000,6858.95693500
1749585600000,6865.47018136
1749589200000,6864.06519347
1749592800000,6862.25836747
1749596400000,6870.16503804
1749600000000,6863.61854608
1749603600000,6860.43997778
1749607200000,6861.58911912
1749610800000,6861.90712049
1749614400000,6859.85022978
1749618000000,6858.43367819
1749621600000,6860.33879553
1749625200000,6858.04484924
1749628800000,6859.85456616
1749632400000,6855.47481994
1749636000000,6856.96798094
1749639600000,6855.20018239
1749643200000,6861.89989319
1749646800000,6861.43590027
1749650400000,6864.32248549
1749654000000,6862.35087696
1749657600000,6858.08676760
1749661200000,6851.34802936
1749664800000,6848.69127241
1749668400000,6847.74738651
1749672000000,6850.28995205
1749675600000,6844.28695336
1749679200000,6843.62782323
1749682800000,6846.52597213
1749686400000,6847.59561312
1749690000000,6844.81165563
1749693600000,6842.72441023
1749697200000,6835.25860521
1749700800000,6833.81314441
1749704400000,6833.57753430
1749708000000,6835.76018010
1749711600000,6831.73890816
1749715200000,6833.31301497
1749718800000,6830.04482811
1749722400000,6827.48925341
1749726000000,6821.41687260
1749729600000,6822.51975919
1749733200000,6823.62842762
1749736800000,6831.49317983
1749740400000,6822.82908780
1749744000000,6833.31879682
1749747600000,6841.31797688
1749751200000,6830.92222281
1749754800000,6752.63165001
1749758400000,6750.21426137
1749762000000,6749.96679848
1749765600000,6749.97489306
1749769200000,6749.33571030
1749772800000,6743.91291956
1749776400000,6743.85857024
1749780000000,6743.51657421
1749783600000,6745.35895855
1749787200000,6745.70500186
1749790800000,6744.54053864
1749794400000,6746.61159488
1749798000000,6747.08628420
1749801600000,6746.64657503
1749805200000,6746.92583805
1749808800000,6747.04436584
1749812400000,6747.54449528
1749816000000,6746.98654741
1749819600000,6746.66420965
1749823200000,6747.33143435
1749826800000,6748.70664576
1749830400000,6749.68290998
1749834000000,6748.51902495
1749837600000,6747.95558433
1749841200000,6747.71823966
1749844800000,6748.67455653
